name,description
"view_own_cases","Xem hồ sơ do mình quản lý"
"edit_own_cases","Chỉnh sửa hồ sơ do mình quản lý"
"update_own_case_status","Cập nhật trạng thái hồ sơ do mình quản lý"
"add_case_notes","Thêm ghi chú cho hồ sơ do mình quản lý"
"upload_case_documents","Tải tài liệu lên hồ sơ do mình quản lý"
"delete_case_documents","Xóa tài liệu khỏi hồ sơ do mình quản lý"
"view_department_cases","Xem tất cả hồ sơ trong phòng ban"
"edit_department_cases","Chỉnh sửa hồ sơ trong phòng ban"
"view_all_cases","Xem tất cả hồ sơ trong hệ thống"
"edit_all_cases","Chỉnh sửa tất cả hồ sơ trong hệ thống"
"create_delegation","Tạo ủy quyền cho hồ sơ"
"view_delegations","Xem danh sách ủy quyền"
"manage_delegations","Quản lý ủy quyền (tạo, sửa, xóa)"
"access_employee_dashboard","Truy cập trang tổng quan của nhân viên"
"access_manager_dashboard","Truy cập trang tổng quan của trưởng phòng"
"access_director_dashboard","Truy cập trang tổng quan của ban giám đốc"
"import_internal_cases","Nhập hồ sơ nội bộ từ file Excel"
"import_external_cases","Nhập hồ sơ bên ngoài từ file Excel"
"export_case_data","Xuất dữ liệu hồ sơ"
"export_department_data","Xuất dữ liệu phòng ban"
"export_all_data","Xuất tất cả dữ liệu hệ thống"
"generate_reports","Tạo báo cáo tổng hợp"
"view_reports","Xem báo cáo"
"export_reports","Xuất báo cáo tổng hợp"
"view_users","Xem danh sách người dùng"
"create_users","Tạo người dùng mới"
"edit_users","Chỉnh sửa thông tin người dùng"
"delete_users","Xóa người dùng"
"manage_users","Quản lý người dùng (thêm, sửa, xóa)"
"view_permissions","Xem danh sách quyền hạn"
"assign_permissions","Phân quyền cho người dùng"
"revoke_permissions","Thu hồi quyền của người dùng"
"manage_permissions","Phân quyền cho người dùng"
"view_audit_logs","Xem nhật ký hoạt động"
"export_audit_logs","Xuất nhật ký hoạt động"
"view_system_stats","Xem thống kê hệ thống"
"manage_system_settings","Quản lý cài đặt hệ thống"
"access_file_structure","Truy cập cấu trúc thư mục file"
"view_storage_stats","Xem thống kê lưu trữ"
"download_documents","Tải xuống tài liệu"
"preview_documents","Xem trước tài liệu"
